title,country,latitude,longitude
12 Years a Slave,USA,37.0902,-95.7129
12 Years a Slave,UK,55.3781,-3.4361
2 Guns,USA,37.0902,-95.7129
42,USA,37.0902,-95.7129
47 Ronin,USA,37.0902,-95.7129
A Good Day to Die Hard,USA,37.0902,-95.7129
About Time,UK,55.3781,-3.4361
Admission,USA,37.0902,-95.7129
After Earth,USA,37.0902,-95.7129
American Hustle,USA,37.0902,-95.7129
August: Osage County,USA,37.0902,-95.7129
Beautiful Creatures,USA,37.0902,-95.7129
Blue Jasmine,USA,37.0902,-95.7129
Captain Phillips,USA,37.0902,-95.7129
Carrie,USA,37.0902,-95.7129
Cloudy with a Chance of Meatballs 2,USA,37.0902,-95.7129
Despicable Me 2,USA,37.0902,-95.7129
Don Jon,USA,37.0902,-95.7129
Elysium,USA,37.0902,-95.7129
Epic,USA,37.0902,-95.7129
Escape from Planet Earth,USA,37.0902,-95.7129
Escape from Planet Earth,Canada,56.1304,-106.3468
Escape Plan,USA,37.0902,-95.7129
Evil Dead,USA,37.0902,-95.7129
Frozen,USA,37.0902,-95.7129
G.I. Joe: Retaliation,USA,37.0902,-95.7129
Gangster Squad,USA,37.0902,-95.7129
Gloria,Chile,-35.6751,-71.543
Gloria,Spain,40.4637,-3.7492
Gravity,USA,37.0902,-95.7129
Gravity,UK,55.3781,-3.4361
Grown Ups 2,USA,37.0902,-95.7129
Her,USA,37.0902,-95.7129
Identity Thief,USA,37.0902,-95.7129
Insidious: Chapter 2,USA,37.0902,-95.7129
Insidious: Chapter 2,Canada,56.1304,-106.3468
Iron Man 3,USA,37.0902,-95.7129
Iron Man 3,China,35.8617,104.1954
Jack the Giant Slayer,USA,37.0902,-95.7129
Kick-Ass 2,USA,37.0902,-95.7129
Kick-Ass 2,UK,55.3781,-3.4361
Last Vegas,USA,37.0902,-95.7129
Machete Kills,Russia,61.524,105.3188
Machete Kills,USA,37.0902,-95.7129
Mama,Canada,56.1304,-106.3468
Mama,Spain,40.4637,-3.7492
Man of Steel,USA,37.0902,-95.7129
Man of Steel,Canada,56.1304,-106.3468
Man of Steel,UK,55.3781,-3.4361
Nebraska,USA,37.0902,-95.7129
Now You See Me,France,46.603354,1.888334
Now You See Me,USA,37.0902,-95.7129
Oblivion,USA,37.0902,-95.7129
Olympus Has Fallen,USA,37.0902,-95.7129
Oz the Great and Powerful,USA,37.0902,-95.7129
Pacific Rim,USA,37.0902,-95.7129
Parker,USA,37.0902,-95.7129
Peeples,USA,37.0902,-95.7129
Percy Jackson: Sea of Monsters,USA,37.0902,-95.7129
Prisoners,USA,37.0902,-95.7129
R.I.P.D.,USA,37.0902,-95.7129
Riddick,USA,37.0902,-95.7129
Riddick,UK,55.3781,-3.4361
Runner Runner,USA,37.0902,-95.7129
Rush,USA,37.0902,-95.7129
Rush,Germany,51.1657,10.4515
Rush,UK,55.3781,-3.4361
Safe Haven,USA,37.0902,-95.7129
Saving Mr. Banks,USA,37.0902,-95.7129
Saving Mr. Banks,UK,55.3781,-3.4361
Saving Mr. Banks,Australia,-25.2744,133.7751
Side Effects,USA,37.0902,-95.7129
Star Trek Into Darkness,USA,37.0902,-95.7129
Texas Chainsaw 3D,USA,37.0902,-95.7129
The Big Wedding,USA,37.0902,-95.7129
The Book Thief,USA,37.0902,-95.7129
The Book Thief,Germany,51.1657,10.4515
The Call,USA,37.0902,-95.7129
The Conjuring,USA,37.0902,-95.7129
The Counselor,USA,37.0902,-95.7129
The Counselor,UK,55.3781,-3.4361
The Croods,USA,37.0902,-95.7129
The Family,USA,37.0902,-95.7129
The Family,France,46.603354,1.888334
The Fifth Estate,USA,37.0902,-95.7129
The Fifth Estate,Belgium,50.5039,4.4699
The Frozen Ground,USA,37.0902,-95.7129
The Great Gatsby,Australia,-25.2744,133.7751
The Great Gatsby,USA,37.0902,-95.7129
The Heat,USA,37.0902,-95.7129
The Hobbit: The Desolation of Smaug,USA,37.0902,-95.7129
The Hobbit: The Desolation of Smaug,New Zealand,-40.9006,174.886
The Host,USA,37.0902,-95.7129
The Hunger Games: Catching Fire,USA,37.0902,-95.7129
The Incredible Burt Wonderstone,USA,37.0902,-95.7129
The Internship,USA,37.0902,-95.7129
The Last Exorcism Part II,USA,37.0902,-95.7129
The Lone Ranger,USA,37.0902,-95.7129
The Mortal Instruments: City of Bones,USA,37.0902,-95.7129
The Mortal Instruments: City of Bones,Germany,51.1657,10.4515
The Mortal Instruments: City of Bones,Canada,56.1304,-106.3468
The Purge,USA,37.0902,-95.7129
The Purge,France,46.603354,1.888334
The Smurfs 2,USA,37.0902,-95.7129
The To Do List,USA,37.0902,-95.7129
The Way Way Back,USA,37.0902,-95.7129
The Wolf of Wall Street,USA,37.0902,-95.7129
The Wolverine,USA,37.0902,-95.7129
The Wolverine,UK,55.3781,-3.4361
This Is the End,USA,37.0902,-95.7129
Thor: The Dark World,USA,37.0902,-95.7129
Trance,UK,55.3781,-3.4361
Trance,France,46.603354,1.888334
Turbo,USA,37.0902,-95.7129
Warm Bodies,USA,37.0902,-95.7129
White House Down,USA,37.0902,-95.7129
World War Z,USA,37.0902,-95.7129
World War Z,Malta,35.9375,14.3754
Abraham Lincoln: Vampire Hunter,USA,37.0902,-95.7129
Act of Valor,USA,37.0902,-95.7129
Amour,France,46.603354,1.888334
Amour,Germany,51.1657,10.4515
Amour,Austria,47.5162,14.5501
Anna Karenina,UK,55.3781,-3.4361
Argo,USA,37.0902,-95.7129
Battleship,USA,37.0902,-95.7129
Beasts of the Southern Wild,USA,37.0902,-95.7129
Blue Like Jazz,USA,37.0902,-95.7129
Brave,USA,37.0902,-95.7129
Bullet to the Head,USA,37.0902,-95.7129
Chernobyl Diaries,USA,37.0902,-95.7129
Chronicle,USA,37.0902,-95.7129
Cloud Atlas,Germany,51.1657,10.4515
Cloud Atlas,USA,37.0902,-95.7129
Cloud Atlas,Hong Kong,22.3193,114.1694
Cloud Atlas,Singapore, 1.3521,103.8198
Contraband,USA,37.0902,-95.7129
Contraband,UK,55.3781,-3.4361
Contraband,France,46.603354,1.888334
Django Unchained,USA,37.0902,-95.7129
Flight,USA,37.0902,-95.7129
Frankenweenie,USA,37.0902,-95.7129
Hotel Transylvania,USA,37.0902,-95.7129
Jack Reacher,USA,37.0902,-95.7129
John Carter,USA,37.0902,-95.7129
Killing Them Softly,USA,37.0902,-95.7129
Life of Pi,USA,37.0902,-95.7129
Life of Pi,Taiwan,23.6978,120.9605
Life of Pi,UK,55.3781,-3.4361
Lincoln,USA,37.0902,-95.7129
Mirror Mirror,USA,37.0902,-95.7129
Mirror Mirror,Canada,56.1304,-106.3468
Moonrise Kingdom,USA,37.0902,-95.7129
Much Ado About Nothing,USA,37.0902,-95.7129
One for the Money,USA,37.0902,-95.7129
Paranormal Activity 4,USA,37.0902,-95.7129
ParaNorman,USA,37.0902,-95.7129
Parental Guidance,USA,37.0902,-95.7129
People Like Us,USA,37.0902,-95.7129
Pitch Perfect,USA,37.0902,-95.7129
Premium Rush,USA,37.0902,-95.7129
Red Dawn,USA,37.0902,-95.7129
Red Tails,USA,37.0902,-95.7129
Rise of the Guardians,USA,37.0902,-95.7129
Rock of Ages,USA,37.0902,-95.7129
Safe,USA,37.0902,-95.7129
Safety Not Guaranteed,USA,37.0902,-95.7129
Seven Psychopaths,UK,55.3781,-3.4361
Silent Hill: Revelation 3D,France,46.603354,1.888334
Silent Hill: Revelation 3D,USA,37.0902,-95.7129
Silent Hill: Revelation 3D,Canada,56.1304,-106.3468
Silver Linings Playbook,USA,37.0902,-95.7129
Sinister,USA,37.0902,-95.7129
Sinister,UK,55.3781,-3.4361
Skyfall,UK,55.3781,-3.4361
Skyfall,USA,37.0902,-95.7129
Snow White and the Huntsman,USA,37.0902,-95.7129
Sparkle,USA,37.0902,-95.7129
Spring Breakers,USA,37.0902,-95.7129
Step Up Revolution,USA,37.0902,-95.7129
Supporting Characters,USA,37.0902,-95.7129
Ted,USA,37.0902,-95.7129
The Amazing Spider-Man,USA,37.0902,-95.7129
The Avengers,USA,37.0902,-95.7129
The Dark Knight Rises,USA,37.0902,-95.7129
The Dark Knight Rises,UK,55.3781,-3.4361
The Devil Inside,USA,37.0902,-95.7129
The Dictator,USA,37.0902,-95.7129
The Expendables 2,USA,37.0902,-95.7129
The Hobbit: An Unexpected Journey,USA,37.0902,-95.7129
The Hobbit: An Unexpected Journey,New Zealand,-40.9006,174.886
The Hunger Games,USA,37.0902,-95.7129
The Impossible,Spain,40.4637,-3.7492
The Man with the Iron Fists,USA,37.0902,-95.7129
The Man with the Iron Fists,Hong Kong,22.3193,114.1694
The Master,USA,37.0902,-95.7129
The Pirates! Band of Misfits,UK,55.3781,-3.4361
The Pirates! Band of Misfits,USA,37.0902,-95.7129
The Place Beyond the Pines,USA,37.0902,-95.7129
The Twilight Saga: Breaking Dawn - Part 2,USA,37.0902,-95.7129
The Vow,USA,37.0902,-95.7129
The Vow,France,46.603354,1.888334
The Vow,Australia,-25.2744,133.7751
The Vow,UK,55.3781,-3.4361
